First,Second
RUT,
A,
AA,
AAPL,
ABC,
ABT,
ACE,
ACN,
ADBE,
ADI,
ADM,
ADP,
ADSK,
AEE,
AEP,
AES,
AET,
AFL,
AGN,
AIG,
AIV,
AIZ,
AKAM,
ALL,
ALTR,
ALXN,
AMAT,
AMD,
AMGN,
AMP,
AMT,
AMZN,
AN,
ANF,
ANR,
AON,
APA,
APC,
APD,
APH,
APOL,
ARG,
ATI,
AVB,
AVP,
AVY,
AXP,
AZO,
BA,
BAC,
BAX,
BBBY,
BBT,
BBY,
BCR,
BDX,
BEN,
BF-B,
BHI,
BIG,
BIIB,
BK,
BLK,
BLL,
BMS,
BMY,
BRCM,
BRK-B,
BSX,
BTU,
BWA,
BXP,
C,
CA,
CAG,
CAH,
CAM,
CAT,
CB,
CBG,
CBS,
CCE,
CCI,
CCL,
CELG,
CERN,
CF,
CFN,
CHK,
CHRW,
CI,
CINF,
CL,
CLF,
CLX,
CMA,
CMCSA,
CME,
CMG,
CMI,
CMS,
CNP,
CNX,
COF,
COG,
COH,
COL,
COP,
COST,
CPB,
CRM,
CSC,
CSCO,
CSX,
CTAS,
CTL,
CTSH,
CTXS,
CVC,
CVS,
CVX,
D,
DD,
DE,
DF,
DFS,
DGX,
DHI,
DHR,
DIS,
DISCA,
DLTR,
DNB,
DNR,
DO,
DOV,
DOW,
DPS,
DRI,
DTE,
DTV,
DUK,
DV,
DVA,
DVN,
EA,
EBAY,
ECL,
ED,
EFX,
EIX,
EL,
EMC,
EMN,
EMR,
EOG,
EQR,
EQT,
ESRX,
ESV,
ETFC,
ETN,
ETR,
EW,
EXC,
EXPD,
EXPE,
F,
FAST,
FCX,
FDO,
FDX,
FE,
FFIV,
FHN,
FII,
FIS,
FISV,
FITB,
FLIR,
FLR,
FLS,
FMC,
FOSL,
FSLR,
FTI,
FTR,
GAS,
GCI,
GD,
GE,
GILD,
GIS,
GLW,
GME,
GNW,
GOOG,
GPC,
GPS,
GS,
GT,
GWW,
HAL,
HAR,
HAS,
HBAN,
HCBK,
HCN,
HCP,
HD,
HES,
HIG,
HOG,
HON,
HOT,
HP,
HPQ,
HRB,
HRL,
HRS,
HSP,
HST,
HSY,
HUM,
IBM,
ICE,
IFF,
IGT,
INTC,
INTU,
IP,
IPG,
IR,
IRM,
ISRG,
ITW,
IVZ,
JBL,
JCI,
JCP,
JDSU,
JEC,
JNJ,
JNPR,
JOY,
JPM,
JWN,
K,
KEY,
KIM,
KLAC,
KMB,
KMI,
KMX,
KO,
KR,
KSS,
L,
LEG,
LEN,
LH,
LLL,
LLTC,
LLY,
LM,
LMT,
LNC,
LO,
LOW,
LRCX,
LUK,
LUV,
LXK,
M,
MA,
MAR,
MAS,
MAT,
MCD,
MCHP,
MCK,
MCO,
MDT,
MET,
MJN,
MKC,
MMC,
MMM,
MNST,
MO,
MON,
MOS,
MPC,
MRK,
MRO,
MS,
MSFT,
MSI,
MTB,
MU,
MUR,
MWV,
MYL,
NBL,
NBR,
NDAQ,
NE,
NEE,
NEM,
NFLX,
NFX,
NI,
NKE,
NOC,
NOV,
NRG,
NSC,
NTAP,
NTRS,
NUE,
NVDA,
NWL,
NWSA,
OI,
OKE,
OMC,
ORCL,
ORLY,
OXY,
PAYX,
PBCT,
PBI,
PCAR,
PCG,
PCL,
PCLN,
PCP,
PDCO,
PEG,
PEP,
PFE,
PFG,
PG,
PGR,
PH,
PHM,
PKI,
PLD,
PM,
PNC,
PNW,
POM,
PPG,
PRGO,
PRU,
PSA,
PSX,
PWR,
PX,
PXD,
QCOM,
QEP,
R,
RAI,
RDC,
RF,
RHI,
RHT,
RL,
ROK,
ROP,
ROST,
RRC,
RRD,
RSG,
RTN,
S,
SBUX,
SCG,
SCHW,
SE,
SEE,
SHLD,
SHW,
SIAL,
SJM,
SLB,
SLM,
SNA,
SNDK,
SNI,
SO,
SPG,
SPLS,
SRCL,
SRE,
STI,
STJ,
STT,
STX,
STZ,
SUN,
SWK,
SWN,
SYK,
SYMC,
SYY,
T,
TAP,
TDC,
TE,
TEG,
TEL,
TER,
TGT,
THC,
TIF,
TJX,
TMK,
TMO,
TRIP,
TROW,
TRV,
TSN,
TSO,
TSS,
TWC,
TWX,
TXN,
TXT,
TYC,
UNH,
UNM,
UNP,
UPS,
URBN,
USB,
UTX,
V,
VAR,
VFC,
VIAB,
VLO,
VMC,
VNO,
VRSN,
VTR,
VZ,
WAT,
WDC,
WEC,
WFC,
WFM,
WHR,
WIN,
WM,
WMB,
WMT,
WPX,
WU,
WY,
WYN,
WYNN,
X,
XEL,
XL,
XLNX,
XOM,
XRAY,
XRX,
XYL,
YHOO,
YUM,
ZION,
ZMH,
SPY,
UWTI,
EEM,
GDX,
UGAZ,
USO,
VXX,
UCO,
EWZ,
EWJ,
IWM,
RSX,
XLF,
NUGT,
UVXY,
QQQ,
FXI,
TVIX,
EFA,
DGAZ,
XLE,
XIV,
XOP,
GDXJ,
XLU,
TZA,
IYR,
UNG,
OIH,
VWO,
XLV,
DUST,
SDS,
EWT,
DBEF,
SCHD,
JNK,
TLT,
XLI,
SLV,
EPI,
EWG,
SH,
XLK,
VGK,
BKLN,
XLP,
HYG,
ITB,
OIL,
XLY,
XHB,
TNA,
VEA,
DXJ,
VNQ,
GLD,
HEDJ,
EWW,
SSO,
EWA,
DIA,
AMLP,
SQQQ,
RUSS,
EWP,
LQD,
EUM,
IYZ,
EWY,
SPXS,
SMH,
IVV,
SPXU,
EDC,
VNM,
XRT,
PXH,
XLB,
ITIP,
SCO,
TBT,
GASL,
TQQQ,
IWF,
IEMG,
RUSL,
KRE,
IBB,
UUP,
EWH,
VTI,
QID,
EUO,
ERUS,
TD,
ERY,
EZU,
AMJ,
VOO,
IAU,
AGG,
DWTI,
PGX,
EWC,
FEZ,
XME,
EWU,
PXF,
PFF,
IWN,
ERX,
EWI,
MDY,
FAS,
IWD,
INDA,
DBC,
SVXY,
BNDX,
VEU,
TDIV,
SJNK,
EWM,
IEF,
FAZ,
IEFA,
UPRO,
TIP,
FXU,
SRTY,
